CamId,feature,num_samples,missing_count,missing_rate,dtype
3395,Conds,1268,1268,1.0,object
3837,Conds,3197,1145,0.35814826399749766,object
17218,Conds,1805,277,0.15346260387811633,object
19106,Conds,859,125,0.14551804423748546,object
5020,Conds,2304,119,0.05164930555555555,object
5021,Conds,1022,52,0.050880626223091974,object
9730,Conds,1805,84,0.04653739612188366,object
4679,Conds,1090,43,0.03944954128440367,object
10066,Conds,1669,54,0.03235470341521869,object
11331,Conds,1170,31,0.026495726495726495,object
19388,Conds,1789,46,0.025712688652878703,object
4795,Conds,723,18,0.024896265560165973,object
7233,Conds,1197,28,0.023391812865497075,object
3396,Conds,2668,51,0.01911544227886057,object
9483,Conds,939,17,0.01810436634717785,object
9291,Conds,1253,16,0.012769353551476457,object
3297,Conds,1267,15,0.011838989739542225,object
3888,Conds,1626,11,0.006765067650676507,object
6798,Conds,1795,12,0.006685236768802228,object
7371,Conds,1512,5,0.0033068783068783067,object
8733,Conds,1791,3,0.0016750418760469012,object
22788,Conds,1446,1,0.0006915629322268327,object
65,Conds,3234,0,0.0,object
75,Conds,1828,0,0.0,object
162,Conds,3244,0,0.0,object
204,Conds,2489,0,0.0,object
260,Conds,3224,0,0.0,object
623,Conds,3723,0,0.0,object
684,Conds,4091,0,0.0,object
858,Conds,200,0,0.0,object
861,Conds,920,0,0.0,object
1093,Conds,869,0,0.0,object
4181,Conds,1779,0,0.0,object
4232,Conds,175,0,0.0,object
4584,Conds,1805,0,0.0,object
4801,Conds,1601,0,0.0,object
7211,Conds,1511,0,0.0,object
8438,Conds,1059,0,0.0,object
8887,Conds,3181,0,0.0,object
8953,Conds,787,0,0.0,object
9112,Conds,655,0,0.0,object
9708,Conds,750,0,0.0,object
10870,Conds,1460,0,0.0,object
10917,Conds,3565,0,0.0,object
11160,Conds,1690,0,0.0,object
17244,Conds,2390,0,0.0,object
18590,Conds,3491,0,0.0,object
19306,Conds,1275,0,0.0,object
19834,Conds,1328,0,0.0,object
21444,Conds,305,0,0.0,object
21510,Conds,2965,0,0.0,object
21511,Conds,2755,0,0.0,object
24325,Conds,1924,0,0.0,object
65,Date,3234,0,0.0,float64
75,Date,1828,0,0.0,float64
162,Date,3244,0,0.0,float64
204,Date,2489,0,0.0,float64
260,Date,3224,0,0.0,float64
623,Date,3723,0,0.0,float64
684,Date,4091,0,0.0,float64
858,Date,200,0,0.0,float64
861,Date,920,0,0.0,float64
1093,Date,869,0,0.0,float64
3297,Date,1267,0,0.0,float64
3395,Date,1268,0,0.0,float64
3396,Date,2668,0,0.0,float64
3837,Date,3197,0,0.0,float64
3888,Date,1626,0,0.0,float64
4181,Date,1779,0,0.0,float64
4232,Date,175,0,0.0,float64
4584,Date,1805,0,0.0,float64
4679,Date,1090,0,0.0,float64
4795,Date,723,0,0.0,float64
4801,Date,1601,0,0.0,float64
5020,Date,2304,0,0.0,float64
5021,Date,1022,0,0.0,float64
6798,Date,1795,0,0.0,float64
7211,Date,1511,0,0.0,float64
7233,Date,1197,0,0.0,float64
7371,Date,1512,0,0.0,float64
8438,Date,1059,0,0.0,float64
8733,Date,1791,0,0.0,float64
8887,Date,3181,0,0.0,float64
8953,Date,787,0,0.0,float64
9112,Date,655,0,0.0,float64
9291,Date,1253,0,0.0,float64
9483,Date,939,0,0.0,float64
9708,Date,750,0,0.0,float64
9730,Date,1805,0,0.0,float64
10066,Date,1669,0,0.0,float64
10870,Date,1460,0,0.0,float64
10917,Date,3565,0,0.0,float64
11160,Date,1690,0,0.0,float64
11331,Date,1170,0,0.0,float64
17218,Date,1805,0,0.0,float64
17244,Date,2390,0,0.0,float64
18590,Date,3491,0,0.0,float64
19106,Date,859,0,0.0,float64
19306,Date,1275,0,0.0,float64
19388,Date,1789,0,0.0,float64
19834,Date,1328,0,0.0,float64
21444,Date,305,0,0.0,float64
21510,Date,2965,0,0.0,float64
21511,Date,2755,0,0.0,float64
22788,Date,1446,0,0.0,float64
24325,Date,1924,0,0.0,float64
65,Day,3234,0,0.0,int64
75,Day,1828,0,0.0,int64
162,Day,3244,0,0.0,int64
204,Day,2489,0,0.0,int64
260,Day,3224,0,0.0,int64
623,Day,3723,0,0.0,int64
684,Day,4091,0,0.0,int64
858,Day,200,0,0.0,int64
861,Day,920,0,0.0,int64
1093,Day,869,0,0.0,int64
3297,Day,1267,0,0.0,int64
3395,Day,1268,0,0.0,int64
3396,Day,2668,0,0.0,int64
3837,Day,3197,0,0.0,int64
3888,Day,1626,0,0.0,int64
4181,Day,1779,0,0.0,int64
4232,Day,175,0,0.0,int64
4584,Day,1805,0,0.0,int64
4679,Day,1090,0,0.0,int64
4795,Day,723,0,0.0,int64
4801,Day,1601,0,0.0,int64
5020,Day,2304,0,0.0,int64
5021,Day,1022,0,0.0,int64
6798,Day,1795,0,0.0,int64
7211,Day,1511,0,0.0,int64
7233,Day,1197,0,0.0,int64
7371,Day,1512,0,0.0,int64
8438,Day,1059,0,0.0,int64
8733,Day,1791,0,0.0,int64
8887,Day,3181,0,0.0,int64
8953,Day,787,0,0.0,int64
9112,Day,655,0,0.0,int64
9291,Day,1253,0,0.0,int64
9483,Day,939,0,0.0,int64
9708,Day,750,0,0.0,int64
9730,Day,1805,0,0.0,int64
10066,Day,1669,0,0.0,int64
10870,Day,1460,0,0.0,int64
10917,Day,3565,0,0.0,int64
11160,Day,1690,0,0.0,int64
11331,Day,1170,0,0.0,int64
17218,Day,1805,0,0.0,int64
17244,Day,2390,0,0.0,int64
18590,Day,3491,0,0.0,int64
19106,Day,859,0,0.0,int64
19306,Day,1275,0,0.0,int64
19388,Day,1789,0,0.0,int64
19834,Day,1328,0,0.0,int64
21444,Day,305,0,0.0,int64
21510,Day,2965,0,0.0,int64
21511,Day,2755,0,0.0,int64
22788,Day,1446,0,0.0,int64
24325,Day,1924,0,0.0,int64
17218,DewPtI,1805,21,0.011634349030470914,float64
260,DewPtI,3224,14,0.004342431761786601,float64
1093,DewPtI,869,3,0.0034522439585730723,float64
19106,DewPtI,859,2,0.002328288707799767,float64
5020,DewPtI,2304,4,0.001736111111111111,float64
10870,DewPtI,1460,2,0.0013698630136986301,float64
861,DewPtI,920,1,0.0010869565217391304,float64
5021,DewPtI,1022,1,0.0009784735812133072,float64
